name,country of citizenship,religion or worldview,gender,place of birth,nationality,number of children,residence,Political party,image,occupation,position held,educated at,date of birth,aliases,description,positions_held
Hassan Ahsan Malik,Indonesia,Islam,male,Probolinggo,,,Sawangan,National Awakening Party,Malik Haramain.png,politician,Member of the People's Representative Council of Indonesia,University of Indonesia,+1972-05-03T00:00:00Z,[],Ulama' Indonesia,"[{'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2014-10-01T00:00:00Z', 'end_date': '+2019-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Slamet,Indonesia,Islam,male,Rembang,,,Purabaya,Prosperous Justice Party,,politician,Member of the People's Representative Council of Indonesia,Udayana University,+1971-05-19T00:00:00Z,"['Dr.H. Slamet', 'Drh. Slamet', 'Drh Slamet', 'H. Slamet', 'Drh. H. Slamet']",,"[{'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2019-10-01T00:00:00Z', 'end_date': '+2024-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
Suir Syam,Indonesia,Islam,male,Padang Panjang,,,West Padang Panjang,Great Indonesia Movement Party,Wali Kota Padang Panjang Suir Syam.jpg,politician,Member of the People's Representative Council of Indonesia,Universitas Gadjah Mada,+1949-12-03T00:00:00Z,"['Dr. H. Suir Syam, M.Kes, Mmr', 'Dr H Suir Syam Mkes', 'Dr. H. Suir Syam, Mkes', 'Dr. H. Suir Syam, M.Kes.', 'H. Suir Syam']",politikus Indonesia,"[{'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2019-10-01T00:00:00Z', 'end_date': '+2024-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2014-10-01T00:00:00Z', 'end_date': '+2019-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
I Wayan Koster,Indonesia,Hinduism,male,Singaraja,,,South Meruya,Indonesian Democratic Party – Struggle,"I Wayan Kostoer, Gubernur Bali.jpg",politician,Member of the People's Representative Council of Indonesia,Bandung Institute of Technology,+1962-10-20T00:00:00Z,"['Wayan Koster', 'Koster', 'Gubernur Koster']","gubernur Provinsi Bali, Indonesia","[{'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2004-10-01T00:00:00Z', 'end_date': '+2009-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2014-10-01T00:00:00Z', 'end_date': '+2018-02-26T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': ""Member of Indonesia's Regional Representative Council"", 'start_date': '+2009-10-01T00:00:00Z', 'end_date': '+2014-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Governor of Bali', 'start_date': '+2018-09-05T00:00:00Z', 'end_date': '+2023-09-05T00:00:00Z', 'replaces': 'I Made Mangku Pastika', 'replaced_by': ''}]"
Adang Sudrajat,Indonesia,Islam,male,Ciamis,,,Buahbatu,Prosperous Justice Party,Adang Sudrajat.jpg,politician,Member of the People's Representative Council of Indonesia,Padjadjaran University,+1962-10-23T00:00:00Z,"['Dr. H. Adang Sudrajat, M.M., Av.', 'H. Adang Sudrajat, Dr. , Mm. Av.', 'H Adang Sudrajat DrMm Av', 'H. Adang Sudrajat, Dr., Mm.Av.', 'Dr. H. Adang Sudrajat, Mm', 'H. Adang Sudrajat', 'Dr.H.Adang Sudrajat MM., Av']",politisi Indonesia,"[{'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2019-10-01T00:00:00Z', 'end_date': '+2021-07-04T00:00:00Z', 'replaces': '', 'replaced_by': 'Diah Nurwitasari'}, {'position': ""Member of the People's Representative Council of Indonesia"", 'start_date': '+2014-10-01T00:00:00Z', 'end_date': '+2019-09-30T00:00:00Z', 'replaces': '', 'replaced_by': ''}]"
De-Anne Kelly,Australia,,female,Rockhampton,,,,National Party of Australia,De-Anne Kelly 2006.jpg,politician,Minister for Veterans' Affairs,University of Queensland,+1954-03-21T00:00:00Z,['De-Anne Margaret Kelly'],Australian politician,"[{'position': ""Minister for Veterans' Affairs"", 'start_date': '+2004-10-26T00:00:00Z', 'end_date': '+2006-01-27T00:00:00Z', 'replaces': 'Danna Vale', 'replaced_by': 'Bruce Billson'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1996-03-02T00:00:00Z', 'end_date': '+2007-11-24T00:00:00Z', 'replaces': 'Ray Braithwaite', 'replaced_by': 'James Bidgood'}]"
Clarrie Millar,Australia,,male,Adelaide,,,,National Party of Australia,,politician,member of the Australian House of Representatives,,+1925-06-15T00:00:00Z,['Percival Clarence Millar'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1974-05-18T00:00:00Z', 'end_date': '+1990-02-19T00:00:00Z', 'replaces': 'Brendan Hansen', 'replaced_by': 'Warren Truss'}]"
John Alexander,Australia,,male,Sydney,,,,Liberal Party of Australia,John Alexander.jpg,tennis player,member of the Australian House of Representatives,,+1951-07-04T00:00:00Z,['John Gilbert Alexander'],Australian tennis player and politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+2010-08-21T00:00:00Z', 'end_date': '+2017-11-11T00:00:00Z', 'replaces': 'Maxine McKew', 'replaced_by': ''}, {'position': 'member of the Australian House of Representatives', 'start_date': '+2017-12-16T00:00:00Z', 'end_date': '+2022-04-11T00:00:00Z', 'replaces': '', 'replaced_by': 'Jerome Laxale'}]"
Michael Ronaldson,Australia,,male,Ballarat,,,,Liberal Party of Australia,Michael Ronaldson.jpg,politician,Minister for Veterans' Affairs,Melbourne Law School,+1954-02-13T00:00:00Z,['Michael John Clyde Ronaldson'],Australian politician,"[{'position': ""Minister for Veterans' Affairs"", 'start_date': '+2013-09-18T00:00:00Z', 'end_date': '+2015-09-21T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'Special Minister of State', 'start_date': '+2013-09-18T00:00:00Z', 'end_date': '+2015-09-21T00:00:00Z', 'replaces': '', 'replaced_by': ''}, {'position': 'member of the Australian Senate', 'start_date': '+2005-07-01T00:00:00Z', 'end_date': '+2016-02-28T00:00:00Z', 'replaces': '', 'replaced_by': 'James Paterson'}, {'position': 'member of the Australian House of Representatives', 'start_date': '+1990-03-24T00:00:00Z', 'end_date': '+2001-10-08T00:00:00Z', 'replaces': 'John Mildren', 'replaced_by': 'Catherine King'}]"
Peter Andren,Australia,,male,Gulargambone,,,,,,politician,member of the Australian House of Representatives,Macquarie University,+1946-08-28T00:00:00Z,['Peter James Andren'],Australian politician (1946-2007),"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1996-03-02T00:00:00Z', 'end_date': '+2007-10-17T00:00:00Z', 'replaces': 'David Simmons', 'replaced_by': 'John Cobb'}]"
David Simmons,Australia,,male,Broken Hill,,,,Australian Labor Party,,politician,member of the Australian House of Representatives,University of New England,+1947-01-07T00:00:00Z,['David William Simmons'],Australian politician,"[{'position': 'member of the Australian House of Representatives', 'start_date': '+1983-03-05T00:00:00Z', 'end_date': '+1996-01-29T00:00:00Z', 'replaces': 'Sandy Mackenzie', 'replaced_by': 'Peter Andren'}]"
